Track_ID,_TargetID,_Day,_Trial,_Arena,Strain,Probe,strategy,name,confidence,1,2,3,4,5,6,7,8,9,path.length,total.time,velocity,distance.from.goal,distance.from.old.goal,initial.heading.error,initial.trajectory.error,initial.reversal.error,efficiency,roaming.entropy,latency.to.goal,latency.to.old.goal,time.in.wall.zone,time.in.far.wall.zone,time.in.annulus.zone,time.in.goal.zone,time.in.old.goal.zone,time.in.n.quadrant,time.in.e.quadrant,time.in.s.quadrant,time.in.w.quadrant,goal.crossings,old.goal.crossings,CIPL_Scores,Date,Age(months),Phase
Track_826_2m ,17_2m ,6,35,Arena_Reversal,SHAM,FALSE,7,corrected path,0.466153846,0,0.007692308,0.006153846,0.049230769,0.010769231,0.335384615,0.466153846,0.121538462,0.003076923,515.2177798,5.679,92.58568318,59.60468105,223.4003779,15.4635913,70.20561348,289.3603464,41.66666667,0.688615423,5.679,,2.0192,3.0288,0.631,0.1262,0,5.048,0.631,0,0,1,0,1.24,,2,Reversal
Track_827_2m ,18_2m ,6,34,Arena_Reversal,SHAM,FALSE,7,corrected path,0.4,0.021538462,0.016923077,0.010769231,0.086153846,0.026153846,0.253846154,0.4,0.18,0.004615385,250.6075889,2.912,89.04536593,101.1914102,229.2520169,37.95426508,78.44159665,243.2142019,0,0.604605907,,,1.7472,0.93184,0.23296,0,0,1.51424,1.39776,0,0,0,0,0.46,,2,Reversal
Track_828_2m ,18_2m ,6,35,Arena_Reversal,SHAM,FALSE,7,corrected path,0.444615385,0.003076923,0.009230769,0.001538462,0.02,0.012307692,0.267692308,0.444615385,0.238461538,0.003076923,287.955484,3.36,85.10612583,87.83249408,232.4632352,98.45360546,113.2149063,255.0450745,0,0.632687196,3.232,,1.8,1.2,0.36,0.24,0,2.04,1.32,0,0,1,0,0.83,,2,Reversal
Track_829_2m ,19_2m ,6,34,Arena_Reversal,SHAM,FALSE,6,directed search,0.386153846,0.003076923,0.007692308,0.027692308,0.196923077,0.3,0.386153846,0.063076923,0.003076923,0.012307692,1293.867868,17.071,77.2582149,103.471008,188.8431304,60.94230227,140.3426237,224.3665083,0,0.828534254,17.071,9.871,6.701948148,4.299362963,3.920007407,0.126451852,0.505807407,7.334207407,4.046459259,3.540651852,2.149681481,1,1,7.6,,2,Reversal
Track_830_2m ,19_2m ,6,35,Arena_Reversal,SHAM,FALSE,6,directed search,0.3,0.178461538,0.056923077,0.064615385,0.192307692,0.14,0.3,0.052307692,0.001538462,0.013846154,1445.368425,21.377,75.85320694,84.74237076,236.8379914,34.17677892,98.76613348,295.8619392,0,0.762147668,21.377,,13.47398788,4.923187879,1.295575758,0.129557576,0,13.86266061,0,0,7.255224242,1,0,8.99,,2,Reversal
Track_831_2m ,20_2m ,6,34,Arena_Reversal,SHAM,FALSE,7,corrected path,0.486153846,0.004615385,0.003076923,0.006153846,0.030769231,0.024615385,0.184615385,0.486153846,0.238461538,0.021538462,331.5108947,3.6,95.64527836,152.5397892,82.29935321,35.21541966,74.32372838,42.57095339,24,0.651783708,3.6,1.472,0.929032258,0.464516129,0.464516129,0.116129032,0.348387097,1.04516129,0,2.322580645,0.232258065,1,1,0.87,,2,Reversal
Track_832_2m ,20_2m ,6,35,Arena_Reversal,SHAM,FALSE,6,directed search,0.46,0.001538462,0.012307692,0.003076923,0.050769231,0.053846154,0.46,0.369230769,0.041538462,0.007692308,552.348766,7.328,77.70031885,88.12340957,189.5148561,58.17353071,90.82144598,96.41404533,4.761904762,0.692136397,7.328,,3.032275862,1.768827586,1.263448276,0.126344828,0,4.548413793,2.779586207,0,0,1,0,1.91,,2,Reversal
Track_833_2m ,21_2m ,6,34,Arena_Reversal,SHAM,FALSE,6,directed search,0.433846154,0.001538462,0.003076923,0.004615385,0.106153846,0.129230769,0.433846154,0.293846154,0.021538462,0.006153846,631.1772877,7.376,95.32714521,132.0417874,150.8040783,17.22619976,95.42582485,27.20955797,38.0952381,0.726178466,7.376,0.832,2.250305085,1.250169492,1.750237288,0.125016949,0.125016949,1.000135593,4.750644068,1.625220339,0,1,1,2.74,,2,Reversal
Track_834_2m ,21_2m ,6,35,Arena_Reversal,SHAM,FALSE,7,corrected path,0.436923077,0.004615385,0.013846154,0.004615385,0.035384615,0.015384615,0.263076923,0.436923077,0.221538462,0.004615385,290.8779468,3.536,84.23027229,93.36749249,225.3013607,109.3776241,137.8847098,172.2354688,0,0.637288578,3.536,,1.596903226,0.798451613,0.456258065,0.114064516,0,2.281290323,1.254709677,0,0,1,0,1.2,,2,Reversal
Track_835_2m ,22_2m ,6,34,Arena_Reversal,SHAM,FALSE,6,directed search,0.490769231,0.001538462,0.003076923,0.001538462,0.076923077,0.143076923,0.490769231,0.267692308,0.012307692,0.003076923,802.7954507,10.004,88.26506199,87.81817471,132.0706673,13.90003142,83.16959195,59.01692199,59.25925926,0.751829,10.004,1.601,2.772192771,1.446361446,1.807951807,0.12053012,0.361590361,4.459614458,0.723180723,2.772192771,2.049012048,1,1,2.78,,2,Reversal
