Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
379,10,NSF,A,Spatial,13,Pool,19.2,5.868,0.306,0.209,2.7,0.718,10.0,2.971,4.8,1.639,1.7,0.541,1,9.33
380,10,NSF,A,Spatial,14,Pool,20.8,6.984,0.336,0.182,7.9,2.536,6.4,2.197,3.3,0.948,3.2,1.303,1,11.08
381,11,NSF,A,Spatial,13,Pool,24.1,7.710,0.320,0.135,5.2,1.904,15.7,4.998,1.6,0.298,1.6,0.510,1,12.35
382,11,NSF,A,Spatial,14,Pool,14.7,4.625,0.315,0.173,3.6,1.063,11.0,3.563,0.0,0.000,0.0,0.000,1,7.26
383,12,NSF,A,Spatial,13,Pool,15.8,5.186,0.328,0.156,1.3,0.399,1.2,0.530,3.3,1.197,9.9,3.060,1,11.91
384,12,NSF,A,Spatial,14,Pool,15.7,5.910,0.376,0.184,12.3,4.633,3.4,1.277,0.0,0.000,0.0,0.000,1,3.89
385,13,NSF,A,Spatial,13,Pool,60.0,19.412,0.324,0.012,14.3,4.862,13.3,4.397,15.7,4.934,16.6,5.218,0,
386,13,NSF,A,Spatial,14,Pool,60.0,19.512,0.325,0.078,12.9,4.358,10.0,3.721,21.7,5.708,15.3,5.724,0,
387,14,NSF,A,Spatial,13,Pool,3.2,1.126,0.349,0.984,0.9,0.250,0.0,0.000,1.6,0.603,0.7,0.273,1,-0.02
388,14,NSF,A,Spatial,14,Pool,60.0,20.643,0.344,0.027,13.6,5.004,16.3,5.660,16.4,5.235,13.7,4.745,0,
389,15,NSF,A,Spatial,13,Pool,3.6,1.340,0.371,0.823,0.9,0.286,0.0,0.000,0.0,0.000,2.7,1.054,1,0.63
390,15,NSF,A,Spatial,14,Pool,6.9,2.483,0.361,0.459,1.1,0.309,0.5,0.034,3.2,1.262,2.1,0.878,1,3.92
391,16,NSF,A,Spatial,13,Pool,10.4,3.559,0.343,0.260,2.4,0.647,2.8,1.087,2.3,1.132,2.9,0.693,1,6.15
392,16,NSF,A,Spatial,14,Pool,4.3,1.430,0.335,0.794,1.1,0.312,3.2,1.118,0.0,0.000,0.0,0.000,1,0.95
393,17,NSF,A,Spatial,13,Pool,53.1,6.334,0.119,0.150,4.8,1.370,33.4,3.940,14.5,0.958,0.3,0.065,1,30.60
394,17,NSF,A,Spatial,14,Pool,39.9,13.137,0.329,0.094,13.2,4.697,12.6,3.797,4.5,1.756,9.6,2.888,1,22.82
395,18,NSF,A,Spatial,13,Pool,20.0,6.082,0.304,0.096,11.6,3.012,3.0,1.132,2.5,0.929,2.8,1.009,1,8.38
396,18,NSF,A,Spatial,14,Pool,8.3,2.402,0.289,0.418,5.9,1.619,0.0,0.000,0.0,0.000,2.4,0.784,1,1.87
397,19,NSF,A,Spatial,13,Pool,38.2,13.546,0.355,0.053,6.5,2.178,4.8,1.855,10.3,3.836,16.5,5.678,1,28.69
398,19,NSF,A,Spatial,14,Pool,13.0,4.461,0.343,0.204,1.3,0.349,4.4,1.701,4.5,1.685,2.8,0.726,1,9.39
399,20,NSF,A,Spatial,13,Pool,36.6,10.746,0.293,0.108,5.1,1.642,2.1,0.802,17.2,4.132,12.2,4.171,1,26.03
400,20,NSF,A,Spatial,14,Pool,56.9,20.185,0.354,0.048,14.8,5.395,13.3,4.899,15.3,5.045,13.6,4.845,1,37.20
401,21,NSF,A,Spatial,13,Pool,14.4,4.319,0.300,0.284,2.0,0.458,0.0,0.000,2.0,0.574,10.4,3.287,1,8.04
402,21,NSF,A,Spatial,14,Pool,34.5,12.606,0.365,0.082,12.1,4.077,7.9,3.285,4.0,1.493,10.5,3.750,1,18.44
403,22,NSF,A,Spatial,13,Pool,17.6,5.819,0.331,0.176,8.3,2.556,3.4,1.155,1.5,0.617,4.4,1.491,1,6.14
404,22,NSF,A,Spatial,14,Pool,4.0,1.504,0.375,0.800,1.3,0.418,0.0,0.000,0.0,0.000,2.7,1.086,1,0.71
405,23,NSF,A,Spatial,13,Pool,9.4,3.304,0.352,0.171,5.2,1.819,0.0,0.000,0.0,0.000,4.2,1.485,1,3.21
406,23,NSF,A,Spatial,14,Pool,7.5,2.267,0.301,0.226,5.4,1.698,2.1,0.570,0.0,0.000,0.0,0.000,1,1.72
407,24,NSF,A,Spatial,13,Pool,23.0,8.283,0.360,0.116,8.0,2.642,6.3,2.478,5.2,1.822,3.5,1.341,1,12.83
408,24,NSF,A,Spatial,14,Pool,6.3,2.246,0.356,0.461,1.3,0.471,0.0,0.000,2.9,1.218,2.1,0.558,1,3.71
409,25,NSF,A,Spatial,13,Pool,45.9,14.961,0.326,0.033,27.9,8.676,5.1,2.239,0.3,0.000,12.6,4.046,1,17.90
410,25,NSF,A,Spatial,14,Pool,4.8,1.161,0.243,0.394,3.3,0.611,1.5,0.550,0.0,0.000,0.0,0.000,1,1.19
411,26,NSF,A,Spatial,13,Pool,60.0,18.348,0.306,0.005,12.9,4.040,13.9,4.486,21.2,5.972,12.0,3.849,0,
412,26,NSF,A,Spatial,14,Pool,45.4,12.680,0.279,0.077,16.0,4.833,12.9,3.411,4.1,1.281,12.4,3.155,1,26.73
413,27,NSF,A,Spatial,13,Pool,12.1,3.633,0.300,0.221,2.5,0.842,5.0,1.408,4.1,1.220,0.4,0.163,1,6.79
414,27,NSF,A,Spatial,14,Pool,11.7,4.377,0.375,0.268,5.1,1.878,3.7,1.408,2.8,1.091,0.0,0.000,1,4.16
415,28,NSF,A,Spatial,13,Pool,60.0,20.115,0.335,0.038,6.0,2.049,27.8,9.362,23.3,7.405,2.9,1.298,0,
416,28,NSF,A,Spatial,14,Pool,8.2,3.071,0.375,0.290,2.0,0.749,4.5,1.699,0.0,0.000,1.7,0.623,1,3.44
417,29,NSF,A,Spatial,13,Pool,15.3,5.362,0.350,0.247,1.2,0.356,0.9,0.398,8.8,2.814,4.4,1.793,1,10.09
418,29,NSF,A,Spatial,14,Pool,19.5,7.450,0.383,0.123,13.7,5.432,4.9,1.689,0.0,0.000,0.8,0.329,1,4.95
419,30,NSF,A,Spatial,13,Pool,3.5,1.169,0.338,0.955,0.8,0.244,0.0,0.000,1.6,0.446,1.1,0.479,1,0.32
420,30,NSF,A,Spatial,14,Pool,3.6,1.307,0.365,0.890,1.5,0.461,2.1,0.847,0.0,0.000,0.0,0.000,1,0.09
421,1,NSF,A,Spatial,15,Pool,13.0,3.706,0.285,0.320,6.4,1.736,3.5,0.955,2.7,0.987,0.4,0.029,1,3.49
422,1,NSF,A,Spatial,16,Pool,8.8,2.444,0.279,0.479,1.5,0.412,7.3,2.032,0.0,0.000,0.0,0.000,1,3.42
423,2,NSF,A,Spatial,15,Pool,2.1,0.726,0.341,0.989,0.8,0.281,0.0,0.000,0.0,0.000,1.3,0.445,1,0.07
424,2,NSF,A,Spatial,16,Pool,21.4,6.782,0.317,0.180,4.3,1.203,11.3,3.554,5.9,2.024,0.0,0.000,1,14.82
425,3,NSF,A,Spatial,15,Pool,1.8,0.450,0.254,0.657,1.8,0.450,0.0,0.000,0.0,0.000,0.0,0.000,1,0.09
426,3,NSF,A,Spatial,16,Pool,6.5,2.120,0.327,0.487,4.3,1.404,2.2,0.715,0.0,0.000,0.0,0.000,1,0.93
427,4,NSF,A,Spatial,15,Pool,41.2,12.895,0.313,0.094,20.4,5.768,11.6,3.618,6.8,2.479,2.4,1.031,1,19.98
428,4,NSF,A,Spatial,16,Pool,60.0,13.399,0.223,0.027,46.5,9.824,9.9,2.559,0.0,0.000,3.6,1.015,0,
429,5,NSF,A,Spatial,15,Pool,11.3,3.507,0.310,0.251,7.1,2.197,4.2,1.310,0.0,0.000,0.0,0.000,1,3.02
430,5,NSF,A,Spatial,16,Pool,4.9,1.499,0.309,0.597,2.9,0.829,1.9,0.670,0.0,0.000,0.0,0.000,1,0.71
431,6,NSF,A,Spatial,15,Pool,9.5,2.884,0.304,0.161,8.9,2.774,0.0,0.000,0.0,0.000,0.5,0.110,1,1.59
432,6,NSF,A,Spatial,16,Pool,9.4,3.000,0.320,0.253,7.8,2.464,0.0,0.000,0.0,0.000,1.5,0.535,1,1.37
433,7,NSF,A,Spatial,15,Pool,11.0,3.383,0.307,0.362,8.9,2.562,0.0,0.000,2.1,0.820,0.0,0.000,1,1.41
434,7,NSF,A,Spatial,16,Pool,32.1,10.095,0.314,0.110,12.8,3.948,16.4,4.956,2.1,0.879,0.8,0.313,1,14.62
435,8,NSF,A,Spatial,15,Pool,19.9,8.066,0.405,0.146,7.9,3.013,3.9,1.867,4.5,1.726,3.6,1.460,1,10.69
436,8,NSF,A,Spatial,16,Pool,35.0,11.340,0.324,0.093,14.1,4.503,4.0,1.260,6.5,2.551,10.3,3.026,1,17.30
437,9,NSF,A,Spatial,15,Pool,10.4,3.928,0.379,0.208,2.5,0.925,2.6,0.967,3.9,1.451,1.3,0.585,1,6.06
438,9,NSF,A,Spatial,16,Pool,27.6,8.106,0.294,0.135,6.1,1.671,0.4,0.141,7.5,1.945,13.6,4.348,1,18.74
439,10,NSF,A,Spatial,15,Pool,4.7,1.565,0.330,0.290,3.2,1.118,0.0,0.000,0.0,0.000,1.5,0.447,1,1.14
440,10,NSF,A,Spatial,16,Pool,4.2,1.400,0.332,0.318,4.2,1.400,0.0,0.000,0.0,0.000,0.0,0.000,1,0.56
441,11,NSF,A,Spatial,15,Pool,11.6,3.268,0.281,0.241,6.4,1.760,5.2,1.507,0.0,0.000,0.0,0.000,1,4.29
442,11,NSF,A,Spatial,16,Pool,11.1,3.818,0.343,0.257,1.9,0.573,3.8,1.355,3.3,1.304,2.1,0.586,1,5.06
443,12,NSF,A,Spatial,15,Pool,12.8,4.408,0.345,0.292,4.9,1.593,0.5,0.243,6.1,2.223,1.2,0.350,1,5.30
444,12,NSF,A,Spatial,16,Pool,12.8,4.573,0.358,0.199,8.9,3.085,0.0,0.000,0.0,0.000,3.8,1.488,1,3.06
445,13,NSF,A,Spatial,15,Pool,60.0,19.488,0.325,0.034,15.6,4.967,16.5,5.707,9.8,3.813,18.2,5.001,0,
446,13,NSF,A,Spatial,16,Pool,60.0,17.533,0.292,0.034,15.3,4.448,14.0,4.239,23.4,6.024,7.2,2.821,0,
447,14,NSF,A,Spatial,15,Pool,60.0,16.635,0.277,0.098,11.0,3.415,11.3,3.717,22.8,5.388,14.9,4.116,0,
448,14,NSF,A,Spatial,16,Pool,60.0,18.755,0.313,0.040,19.4,5.827,14.3,4.894,11.5,3.382,14.8,4.652,0,
449,15,NSF,A,Spatial,15,Pool,6.8,1.860,0.274,0.588,3.6,0.734,0.0,0.000,0.0,0.000,3.2,1.127,1,0.97
450,15,NSF,A,Spatial,16,Pool,60.0,23.783,0.396,0.049,21.0,7.909,12.3,4.985,11.5,4.998,15.2,5.892,0,
451,16,NSF,A,Spatial,15,Pool,8.7,2.868,0.331,0.196,1.9,0.563,5.5,1.930,1.0,0.285,0.3,0.090,1,3.93
452,16,NSF,A,Spatial,16,Pool,8.5,3.076,0.362,0.263,1.5,0.439,3.7,1.273,2.1,0.975,1.2,0.390,1,5.19
453,17,NSF,A,Spatial,15,Pool,24.1,8.829,0.366,0.139,5.5,1.962,8.9,3.168,6.3,2.411,3.4,1.289,1,14.99
454,17,NSF,A,Spatial,16,Pool,3.4,1.130,0.337,0.868,0.8,0.243,2.5,0.887,0.0,0.000,0.0,0.000,1,0.30
455,18,NSF,A,Spatial,15,Pool,6.8,1.981,0.292,0.612,0.9,0.226,0.0,0.000,3.4,0.992,2.4,0.764,1,2.41
456,18,NSF,A,Spatial,16,Pool,7.1,1.998,0.282,0.445,3.5,0.875,0.0,0.000,0.0,0.000,3.6,1.123,1,1.55
457,19,NSF,A,Spatial,15,Pool,27.0,9.517,0.353,0.121,4.1,1.384,3.7,1.391,8.9,3.193,10.1,3.549,1,16.88
458,19,NSF,A,Spatial,16,Pool,41.0,13.583,0.331,0.068,9.5,3.122,9.0,2.854,14.1,4.575,8.4,3.033,1,27.02
459,20,NSF,A,Spatial,15,Pool,8.9,2.105,0.235,0.487,3.7,0.946,0.0,0.000,0.0,0.000,5.2,1.159,1,3.52
460,20,NSF,A,Spatial,16,Pool,15.8,5.930,0.375,0.192,5.1,1.944,2.9,1.129,5.8,2.051,2.0,0.805,1,8.10
461,21,NSF,A,Spatial,15,Pool,7.6,2.418,0.319,0.324,1.1,0.252,4.1,1.461,2.4,0.705,0.0,0.000,1,4.49
462,21,NSF,A,Spatial,16,Pool,6.4,2.376,0.370,0.433,1.9,0.645,1.5,0.336,1.8,0.875,1.2,0.519,1,1.98
463,22,NSF,A,Spatial,15,Pool,6.4,2.377,0.372,0.148,3.4,1.167,3.0,1.210,0.0,0.000,0.0,0.000,1,2.52
464,22,NSF,A,Spatial,16,Pool,5.7,1.885,0.329,0.413,4.4,1.448,0.0,0.000,0.0,0.000,1.3,0.437,1,1.11
465,23,NSF,A,Spatial,15,Pool,4.9,1.607,0.330,0.393,3.5,1.272,0.0,0.000,0.0,0.000,1.4,0.336,1,0.90
466,23,NSF,A,Spatial,16,Pool,37.0,12.375,0.335,0.079,17.4,5.420,1.7,0.597,0.0,0.000,17.9,6.359,1,14.46
467,24,NSF,A,Spatial,15,Pool,12.6,4.496,0.357,0.255,2.9,0.875,6.5,2.410,2.4,1.104,0.7,0.107,1,6.37
