Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : time (s),Q1 : distance (m),Q2 : time (s),Q2 : distance (m),Q3 : time (s),Q3 : distance (m),Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
52,26,NSF,A,Spatial,2,Pool,13.8,3.890,0.282,0.130,0.0,0.000,0.0,0.000,11.1,3.043,2.7,0.847,1,13.8,8.5,0.127,3.94
53,27,NSF,A,Spatial,1,Pool,11.9,3.476,0.293,0.319,6.4,1.640,0.0,0.000,1.5,0.430,4.0,1.405,1,11.8,9.1,0.315,6.74
54,27,NSF,A,Spatial,2,Pool,3.1,0.785,0.254,0.461,0.0,0.000,0.0,0.000,3.1,0.785,0.0,0.000,1,3.1,1.6,0.414,0.65
55,28,NSF,A,Spatial,1,Pool,60.0,19.173,0.320,0.029,38.4,11.522,4.7,1.678,5.7,2.123,11.2,3.850,0,,29.2,,
56,28,NSF,A,Spatial,2,Pool,60.0,18.370,0.306,0.020,28.6,8.925,8.3,2.611,3.6,0.847,19.5,5.987,0,,30.7,,
57,29,NSF,A,Spatial,1,Pool,8.6,2.756,0.320,0.234,0.0,0.000,4.9,1.710,3.7,1.046,0.0,0.000,1,8.6,5.5,0.204,2.62
58,29,NSF,A,Spatial,2,Pool,15.8,5.998,0.379,0.205,1.4,0.531,2.4,0.806,11.3,4.327,0.7,0.333,1,15.8,10.4,0.178,4.52
59,30,NSF,A,Spatial,1,Pool,60.0,21.240,0.354,0.011,32.6,10.994,14.3,5.013,5.6,2.424,7.6,2.810,0,,30.5,,
60,30,NSF,A,Spatial,2,Pool,23.6,8.171,0.347,0.111,6.0,1.946,8.8,3.321,8.8,2.904,0.0,0.000,1,23.6,13.9,0.108,12.69
61,1,NSF,A,Spatial,3,Pool,2.2,0.603,0.270,0.746,0.0,0.000,0.0,0.000,2.2,0.603,0.0,0.000,1,2.2,1.8,0.533,0.19
62,1,NSF,A,Spatial,4,Pool,14.8,5.576,0.377,0.151,0.5,0.229,1.3,0.585,7.1,2.520,5.8,2.242,1,14.8,8.2,0.147,3.95
63,2,NSF,A,Spatial,3,Pool,8.8,2.756,0.312,0.442,0.0,0.000,4.7,1.449,4.1,1.307,0.0,0.000,1,8.8,5.6,0.385,2.96
64,2,NSF,A,Spatial,4,Pool,6.8,2.475,0.363,0.475,2.7,0.755,0.0,0.000,2.5,0.970,1.6,0.750,1,6.8,4.5,0.414,2.80
65,3,NSF,A,Spatial,3,Pool,10.9,3.735,0.342,0.159,0.0,0.000,0.9,0.313,7.9,2.678,2.0,0.744,1,10.9,5.4,0.120,2.22
66,3,NSF,A,Spatial,4,Pool,2.3,0.766,0.328,0.940,0.0,0.000,1.4,0.447,0.9,0.320,0.0,0.000,1,2.3,1.9,0.932,0.12
67,4,NSF,A,Spatial,3,Pool,34.7,8.785,0.253,0.113,18.1,4.586,5.3,1.049,1.6,0.415,9.6,2.734,1,34.7,20.1,0.098,27.51
68,4,NSF,A,Spatial,4,Pool,5.4,1.719,0.316,0.698,2.1,0.589,2.1,0.821,1.2,0.308,0.0,0.000,1,5.4,5.0,0.670,1.30
