Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q2 : entries,Q2 : time (s),Q3 : entries,Q3 : time (s),Q4 : entries,Q4 : time (s),Platform : entries,Platform : CIPL (m·s)
145,13,a,A,Spatial,5,Pool,25.5,8.069,0.316,0.143,2,2.2,1,1.1,3,9.1,3,13.2,1,10.72
146,13,a,A,Spatial,6,Pool,17.7,5.286,0.299,0.175,1,3.2,2,7.0,2,4.5,1,2.9,1,8.82
147,14,a,A,Spatial,5,Pool,6.1,1.971,0.324,0.468,1,0.6,0,0.0,1,3.7,1,1.7,1,0.98
148,14,a,A,Spatial,6,Pool,1.6,0.376,0.239,0.981,0,0.0,0,0.0,1,1.1,1,0.5,1,0.03
149,15,a,A,Spatial,5,Pool,60.0,20.028,0.334,0.026,7,24.8,6,17.1,3,8.8,4,9.3,0,41.46
150,15,a,A,Spatial,6,Pool,2.1,0.637,0.309,0.775,0,0.0,0,0.0,1,2.0,0,0.0,1,0.21
151,16,b,B,Spatial,5,Pool,1.5,0.374,0.255,0.975,0,0.0,0,0.0,1,1.4,0,0.0,1,0.05
152,16,b,B,Spatial,6,Pool,9.5,3.168,0.334,0.361,1,4.4,1,4.1,1,0.9,0,0.0,1,5.25
153,17,b,B,Spatial,5,Pool,8.3,2.938,0.354,0.316,0,0.0,0,0.0,2,3.1,2,5.2,1,2.88
154,17,b,B,Spatial,6,Pool,19.3,6.945,0.360,0.184,1,2.4,1,2.9,3,10.9,2,3.1,1,6.06
155,18,b,B,Spatial,5,Pool,12.9,4.276,0.330,0.128,1,2.0,2,5.3,2,5.1,1,0.5,1,5.07
156,18,b,B,Spatial,6,Pool,14.6,4.726,0.324,0.209,1,2.1,1,0.5,2,5.5,2,6.4,1,6.88
157,19,b,B,Spatial,5,Pool,2.9,1.049,0.357,0.857,0,0.0,1,2.0,1,0.9,0,0.0,1,0.36
158,19,b,B,Spatial,6,Pool,12.4,3.871,0.312,0.129,0,0.0,0,0.0,3,6.6,2,5.7,1,3.95
159,20,b,B,Spatial,5,Pool,6.6,2.480,0.375,0.432,1,2.5,2,3.0,1,1.1,0,0.0,1,2.24
