Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Rotations,Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
497,9,a,A,Spatial,21,Pool,3/2/2023,18.8,5.307,0.283,2,0.082,4,15.3,4.421,1,0.6,0.153,0,0.0,0.000,3,2.9,0.734,1,3.90
498,9,a,A,Spatial,22,Pool,3/2/2023,6.7,1.691,0.254,0,0.169,1,6.7,1.691,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,1.09
499,10,a,A,Spatial,21,Pool,3/2/2023,44.3,10.471,0.236,1,0.076,7,15.4,4.090,7,28.9,6.381,0,0.0,0.000,0,0.0,0.000,1,20.38
500,10,a,A,Spatial,22,Pool,3/2/2023,41.3,14.037,0.340,2,0.076,7,20.5,6.430,3,8.2,2.863,1,2.7,1.247,5,9.9,3.498,1,17.59
501,11,a,A,Spatial,21,Pool,3/2/2023,8.1,2.781,0.344,0,0.297,1,1.1,0.375,1,2.4,0.903,2,4.6,1.503,0,0.0,0.000,1,5.15
502,11,a,A,Spatial,22,Pool,3/2/2023,35.8,12.520,0.350,1,0.060,4,10.3,3.578,3,8.4,2.894,3,5.9,2.046,4,11.1,4.003,1,20.52
503,12,a,A,Spatial,21,Pool,3/2/2023,8.6,2.534,0.294,0,0.337,2,5.1,1.519,1,2.3,0.554,0,0.0,0.000,1,1.2,0.461,1,2.67
504,12,a,A,Spatial,22,Pool,3/2/2023,5.4,2.159,0.399,0,0.472,1,0.8,0.337,1,2.2,0.950,1,2.4,0.872,0,0.0,0.000,1,2.60
505,13,a,A,Spatial,21,Pool,3/2/2023,4.5,1.426,0.315,0,0.544,1,1.1,0.390,0,0.0,0.000,0,0.0,0.000,1,3.5,1.036,1,1.53
506,13,a,A,Spatial,22,Pool,3/2/2023,1.5,0.310,0.201,0,0.988,1,1.5,0.310,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.08
507,14,a,A,Spatial,21,Pool,3/2/2023,16.0,4.829,0.302,0,0.243,2,4.5,1.211,1,1.8,0.613,2,5.9,1.635,2,3.8,1.371,1,7.94
508,14,a,A,Spatial,22,Pool,3/2/2023,10.4,3.484,0.335,0,0.305,2,3.0,1.008,3,5.5,1.648,1,1.9,0.828,0,0.0,0.000,1,4.51
509,15,a,A,Spatial,21,Pool,3/2/2023,27.4,9.468,0.346,0,0.064,5,12.4,4.666,4,14.1,4.589,0,0.0,0.000,1,0.8,0.213,1,9.20
510,15,a,A,Spatial,22,Pool,3/2/2023,3.9,1.068,0.273,0,0.825,1,0.8,0.233,0,0.0,0.000,0,0.0,0.000,1,3.1,0.835,1,0.69
511,16,a,A,Spatial,21,Pool,3/2/2023,10.6,2.996,0.284,0,0.443,3,4.7,1.176,3,3.1,0.972,1,2.8,0.848,0,0.0,0.000,1,2.15
512,16,a,A,Spatial,22,Pool,3/2/2023,8.3,2.270,0.274,0,0.403,1,4.2,1.039,0,0.0,0.000,0,0.0,0.000,1,4.0,1.231,1,2.19
513,17,a,A,Spatial,21,Pool,3/2/2023,8.4,3.088,0.369,0,0.315,2,3.6,1.266,0,0.0,0.000,0,0.0,0.000,2,4.7,1.822,1,3.19
514,17,a,A,Spatial,22,Pool,3/2/2023,29.0,10.317,0.355,3,0.086,2,2.0,0.647,5,12.6,4.651,5,11.4,4.380,2,3.1,0.640,1,19.93
515,18,a,A,Spatial,21,Pool,3/2/2023,37.6,10.930,0.290,1,0.075,5,17.6,5.197,5,20.0,5.733,0,0.0,0.000,0,0.0,0.000,1,14.14
516,18,a,A,Spatial,22,Pool,3/2/2023,15.6,4.254,0.274,0,0.255,2,1.0,0.264,2,12.9,3.691,1,1.7,0.299,0,0.0,0.000,1,8.72
517,19,a,A,Spatial,21,Pool,3/2/2023,6.9,2.436,0.355,0,0.240,1,2.8,0.925,1,2.2,0.686,1,1.1,0.450,1,0.8,0.376,1,2.34
518,19,a,A,Spatial,22,Pool,3/2/2023,6.5,2.401,0.369,0,0.241,1,2.2,0.794,0,0.0,0.000,0,0.0,0.000,1,4.3,1.607,1,3.15
519,20,a,A,Spatial,21,Pool,3/2/2023,4.4,1.183,0.268,0,0.412,1,4.4,1.183,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.72
520,20,a,A,Spatial,22,Pool,3/2/2023,12.5,3.242,0.260,0,0.277,1,3.2,0.766,1,9.3,2.476,0,0.0,0.000,0,0.0,0.000,1,5.06
521,21,a,A,Spatial,21,Pool,3/2/2023,18.0,5.558,0.309,1,0.180,4,11.6,3.737,2,2.1,0.732,3,1.8,0.374,3,2.4,0.715,1,3.94
522,21,a,A,Spatial,22,Pool,3/2/2023,16.7,5.142,0.309,0,0.236,2,4.0,1.144,3,6.4,2.241,3,4.7,1.258,1,1.6,0.499,1,8.39
523,22,a,A,Spatial,21,Pool,3/2/2023,16.4,5.195,0.317,1,0.190,2,2.5,0.718,3,7.0,2.247,3,6.2,2.059,1,0.7,0.171,1,9.31
524,22,a,A,Spatial,22,Pool,3/2/2023,3.4,1.049,0.312,0,0.773,1,1.4,0.469,0,0.0,0.000,0,0.0,0.000,1,1.9,0.580,1,0.57
525,23,a,A,Spatial,21,Pool,3/2/2023,21.5,6.493,0.302,0,0.112,2,3.1,0.963,4,9.2,2.647,2,9.2,2.882,0,0.0,0.000,1,14.45
526,23,a,A,Spatial,22,Pool,3/2/2023,11.2,3.704,0.331,0,0.281,2,6.4,2.056,0,0.0,0.000,1,1.1,0.136,2,3.7,1.512,1,2.66
527,24,a,A,Spatial,21,Pool,3/2/2023,3.2,0.561,0.178,0,0.630,1,3.1,0.561,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.25
528,24,a,A,Spatial,22,Pool,3/2/2023,21.9,5.521,0.253,2,0.083,3,16.9,4.280,3,4.9,1.241,0,0.0,0.000,0,0.0,0.000,1,5.35
529,1,a,A,Spatial,23,Pool,3/2/2023,3.4,0.963,0.282,0,0.935,1,0.9,0.304,0,0.0,0.000,1,2.0,0.479,1,0.4,0.180,1,0.38
530,1,a,A,Spatial,24,Pool,3/2/2023,2.3,0.489,0.213,0,0.911,1,2.3,0.489,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.13
531,2,a,A,Spatial,23,Pool,3/2/2023,2.4,0.648,0.265,0,0.831,1,2.4,0.648,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.30
532,2,a,A,Spatial,24,Pool,3/2/2023,3.3,0.910,0.274,0,0.923,1,1.3,0.325,1,2.0,0.585,0,0.0,0.000,0,0.0,0.000,1,0.14
533,3,a,A,Spatial,23,Pool,3/2/2023,6.0,1.467,0.243,0,0.285,2,4.2,1.000,1,1.8,0.467,0,0.0,0.000,0,0.0,0.000,1,1.78
534,3,a,A,Spatial,24,Pool,3/2/2023,6.7,2.082,0.313,0,0.613,1,1.6,0.412,0,0.0,0.000,1,4.5,1.463,1,0.6,0.207,1,2.20
535,4,a,A,Spatial,23,Pool,3/2/2023,9.1,2.412,0.266,0,0.349,1,6.9,1.897,0,0.0,0.000,0,0.0,0.000,1,2.1,0.515,1,1.41
536,4,a,A,Spatial,24,Pool,3/2/2023,13.7,3.821,0.279,0,0.277,2,4.6,1.137,3,8.3,2.467,1,0.8,0.217,0,0.0,0.000,1,5.46
537,5,a,A,Spatial,23,Pool,3/2/2023,5.2,1.585,0.302,0,0.482,1,1.0,0.298,0,0.0,0.000,0,0.0,0.000,1,4.2,1.287,1,2.40
538,5,a,A,Spatial,24,Pool,3/2/2023,12.2,3.528,0.289,0,0.259,2,4.5,1.293,2,7.7,2.234,0,0.0,0.000,0,0.0,0.000,1,4.06
539,6,a,A,Spatial,23,Pool,3/2/2023,6.7,1.913,0.285,0,0.283,1,4.9,1.547,0,0.0,0.000,0,0.0,0.000,1,1.8,0.367,1,1.24
540,6,a,A,Spatial,24,Pool,3/2/2023,16.1,4.619,0.287,0,0.217,1,2.6,0.740,1,13.5,3.878,0,0.0,0.000,0,0.0,0.000,1,7.26
541,7,a,A,Spatial,23,Pool,3/2/2023,42.8,14.459,0.338,2,0.086,4,10.8,3.197,4,17.2,5.512,4,7.7,3.174,3,7.1,2.576,1,22.15
542,7,a,A,Spatial,24,Pool,3/2/2023,6.8,2.193,0.323,0,0.497,1,4.2,1.303,0,0.0,0.000,1,1.3,0.278,1,1.3,0.612,1,1.22
543,8,a,A,Spatial,23,Pool,3/2/2023,10.4,3.191,0.307,0,0.328,2,6.0,1.861,0,0.0,0.000,1,1.9,0.554,2,2.5,0.776,1,1.66
544,8,a,A,Spatial,24,Pool,3/2/2023,3.1,0.738,0.241,0,0.880,1,1.2,0.300,1,1.9,0.438,0,0.0,0.000,0,0.0,0.000,1,0.23
545,9,a,A,Spatial,23,Pool,3/2/2023,4.0,1.214,0.305,0,0.519,1,2.8,0.967,0,0.0,0.000,0,0.0,0.000,1,1.1,0.247,1,0.67
546,9,a,A,Spatial,24,Pool,3/2/2023,10.1,2.582,0.255,0,0.325,1,3.7,1.062,0,0.0,0.000,2,3.0,0.627,3,3.4,0.893,1,3.69
547,10,a,A,Spatial,23,Pool,3/2/2023,10.1,2.571,0.254,0,0.362,2,3.0,0.756,2,7.1,1.815,0,0.0,0.000,0,0.0,0.000,1,3.00
548,10,a,A,Spatial,24,Pool,3/2/2023,4.4,0.727,0.166,0,0.805,1,3.2,0.691,1,1.2,0.036,0,0.0,0.000,0,0.0,0.000,1,0.32
549,11,a,A,Spatial,23,Pool,3/2/2023,7.8,1.930,0.249,0,0.227,2,6.1,1.446,1,1.7,0.484,0,0.0,0.000,0,0.0,0.000,1,2.14
550,11,a,A,Spatial,24,Pool,3/2/2023,16.3,5.140,0.316,0,0.172,2,5.4,1.510,3,8.8,2.987,1,2.0,0.643,0,0.0,0.000,1,7.19
551,12,a,A,Spatial,23,Pool,3/2/2023,4.4,1.625,0.367,0,0.734,1,0.8,0.246,1,2.0,0.928,1,1.6,0.451,0,0.0,0.000,1,1.36
552,12,a,A,Spatial,24,Pool,3/2/2023,4.0,0.887,0.222,0,0.713,1,2.7,0.763,1,1.3,0.124,0,0.0,0.000,0,0.0,0.000,1,0.41
553,13,a,A,Spatial,23,Pool,3/2/2023,9.4,2.989,0.319,0,0.238,3,4.8,1.474,2,2.0,0.699,0,0.0,0.000,1,2.5,0.816,1,2.32
554,13,a,A,Spatial,24,Pool,3/2/2023,4.6,1.289,0.281,0,0.848,1,1.6,0.382,0,0.0,0.000,0,0.0,0.000,1,3.0,0.907,1,0.56
555,14,a,A,Spatial,23,Pool,3/2/2023,1.9,0.341,0.181,0,0.945,1,1.9,0.341,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.12
556,14,a,A,Spatial,24,Pool,3/2/2023,20.5,6.774,0.330,0,0.156,3,10.3,3.093,2,4.2,1.315,1,1.3,0.445,2,4.7,1.921,1,7.30
557,15,a,A,Spatial,23,Pool,3/2/2023,12.7,4.676,0.368,0,0.159,3,2.7,1.023,2,6.0,2.318,1,0.6,0.208,2,3.4,1.127,1,5.50
558,15,a,A,Spatial,24,Pool,3/2/2023,3.3,1.004,0.302,0,0.835,1,0.9,0.288,1,2.4,0.717,0,0.0,0.000,0,0.0,0.000,1,0.49
559,16,a,A,Spatial,23,Pool,3/2/2023,7.7,2.071,0.271,0,0.540,1,4.2,0.984,1,1.9,0.669,1,1.5,0.418,0,0.0,0.000,1,1.01
560,16,a,A,Spatial,24,Pool,3/2/2023,3.6,0.933,0.263,0,0.813,1,1.7,0.457,1,1.9,0.475,0,0.0,0.000,0,0.0,0.000,1,0.40
561,17,a,A,Spatial,23,Pool,3/2/2023,11.4,4.264,0.373,0,0.265,3,5.3,1.973,2,2.8,1.177,1,2.2,0.657,1,1.2,0.458,1,3.70
562,17,a,A,Spatial,24,Pool,3/2/2023,11.1,3.885,0.350,0,0.085,3,3.9,1.054,2,5.9,2.224,1,1.3,0.607,0,0.0,0.000,1,5.55
563,18,a,A,Spatial,23,Pool,3/2/2023,5.1,1.435,0.279,0,0.579,1,3.4,0.948,0,0.0,0.000,0,0.0,0.000,1,1.7,0.487,1,0.75
564,18,a,A,Spatial,24,Pool,3/2/2023,4.4,1.253,0.282,0,0.673,1,2.6,0.681,0,0.0,0.000,0,0.0,0.000,1,1.9,0.573,1,0.43
565,19,a,A,Spatial,23,Pool,3/2/2023,26.5,9.680,0.365,2,0.115,3,6.1,2.014,5,10.8,4.177,3,9.6,3.489,0,0.0,0.000,1,15.61
566,19,a,A,Spatial,24,Pool,3/2/2023,33.9,12.110,0.357,0,0.093,3,13.1,4.486,4,9.3,3.527,4,7.0,2.342,2,4.5,1.756,1,16.94
567,20,a,A,Spatial,23,Pool,3/2/2023,22.5,5.810,0.258,1,0.131,4,13.6,3.686,1,1.3,0.356,0,0.0,0.000,3,7.6,1.767,1,7.25
568,20,a,A,Spatial,24,Pool,3/2/2023,14.9,4.112,0.277,0,0.234,1,1.2,0.289,2,11.6,3.257,1,2.1,0.566,0,0.0,0.000,1,6.98
569,21,a,A,Spatial,23,Pool,3/2/2023,3.4,0.832,0.242,0,0.903,1,0.7,0.237,0,0.0,0.000,0,0.0,0.000,1,2.8,0.595,1,0.70
570,21,a,A,Spatial,24,Pool,3/2/2023,10.3,3.527,0.342,0,0.345,2,5.6,1.849,0,0.0,0.000,0,0.0,0.000,2,4.7,1.678,1,2.71
571,22,a,A,Spatial,23,Pool,3/2/2023,14.8,4.471,0.302,0,0.266,2,5.6,1.683,2,5.9,1.789,2,2.7,0.777,1,0.6,0.223,1,5.36
572,22,a,A,Spatial,24,Pool,3/2/2023,7.2,2.644,0.366,0,0.322,1,0.7,0.214,1,3.8,1.491,1,0.6,0.243,1,2.2,0.695,1,3.56
573,23,a,A,Spatial,23,Pool,3/2/2023,4.7,1.561,0.330,0,0.384,1,0.8,0.262,1,3.9,1.300,0,0.0,0.000,0,0.0,0.000,1,1.89
574,23,a,A,Spatial,24,Pool,3/2/2023,7.3,2.311,0.315,0,0.338,2,2.5,0.780,0,0.0,0.000,0,0.0,0.000,2,4.8,1.531,1,2.37
575,24,a,A,Spatial,23,Pool,3/2/2023,3.4,0.589,0.174,0,0.770,1,3.4,0.589,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.33
576,24,a,A,Spatial,24,Pool,3/2/2023,8.3,2.244,0.272,0,0.383,1,0.7,0.213,0,0.0,0.000,2,1.1,0.299,3,6.5,1.733,1,4.95
577,1,a,A,Probe,1,Pool,3/2/2023,60.0,20.278,0.338,1,0.065,10,30.3,9.704,4,8.1,2.690,4,13.4,4.751,5,6.8,2.690,4,0.39
578,2,a,A,Probe,1,Pool,3/2/2023,60.0,17.844,0.297,2,0.064,8,49.1,14.313,4,7.1,2.291,1,1.6,0.485,0,0.0,0.000,5,0.53
579,3,a,A,Probe,1,Pool,3/2/2023,60.0,19.211,0.320,2,0.059,16,38.7,12.491,4,4.9,1.874,2,3.2,0.947,5,9.7,2.734,8,0.36
580,4,a,A,Probe,1,Pool,3/2/2023,60.0,17.090,0.285,1,0.098,8,42.4,11.586,4,11.4,3.674,2,3.2,0.970,2,1.6,0.387,3,2.93
581,5,a,A,Probe,1,Pool,3/2/2023,60.0,19.194,0.320,0,0.071,10,31.3,9.641,8,17.5,5.958,5,6.5,1.885,3,3.6,1.341,3,1.84
582,6,a,A,Probe,1,Pool,3/2/2023,60.0,18.035,0.301,1,0.045,10,44.1,12.531,4,6.1,2.334,2,1.3,0.275,2,5.6,2.090,6,0.64
583,7,a,A,Probe,1,Pool,3/2/2023,60.0,19.572,0.326,0,0.063,12,39.5,12.421,3,4.5,1.485,2,3.9,1.456,5,9.9,3.626,6,3.09
584,8,a,A,Probe,1,Pool,3/2/2023,60.0,17.607,0.293,1,0.074,10,34.8,9.568,3,6.6,2.148,2,7.9,2.489,5,8.8,2.822,4,7.80
585,9,a,A,Probe,1,Pool,3/2/2023,60.0,18.603,0.310,3,0.061,9,22.3,6.650,6,16.4,5.149,4,14.6,4.581,3,4.7,1.676,4,13.80
586,10,a,A,Probe,1,Pool,3/2/2023,60.0,17.521,0.292,4,0.059,9,12.8,3.770,9,40.2,11.671,5,4.2,1.226,3,1.9,0.573,2,6.84
587,11,a,A,Probe,1,Pool,3/2/2023,60.0,21.321,0.355,1,0.032,9,18.9,6.240,4,9.0,2.909,6,10.2,3.610,9,20.7,8.212,2,17.16
588,12,a,A,Probe,1,Pool,3/2/2023,60.0,20.577,0.343,0,0.063,10,38.5,12.731,4,8.6,3.341,3,2.5,0.873,6,9.6,3.364,2,12.91
589,13,a,A,Probe,1,Pool,3/2/2023,60.0,18.489,0.308,0,0.070,14,37.7,11.080,9,15.8,5.358,2,2.1,0.560,2,2.1,0.793,5,0.28
590,14,a,A,Probe,1,Pool,3/2/2023,60.0,19.529,0.325,0,0.056,3,8.6,2.596,7,17.5,6.445,7,28.2,8.501,3,5.7,1.987,0,
591,15,a,A,Probe,1,Pool,3/2/2023,60.0,20.185,0.336,1,0.011,10,34.9,11.199,6,16.2,5.781,2,3.7,1.303,2,3.6,1.367,3,2.91
592,16,a,A,Probe,1,Pool,3/2/2023,60.0,18.018,0.300,2,0.070,9,41.9,12.154,4,8.9,2.880,3,4.3,1.453,5,4.0,1.231,2,14.26
593,17,a,A,Probe,1,Pool,3/2/2023,60.0,21.391,0.357,0,0.068,15,30.1,10.762,6,7.6,2.745,3,5.7,2.169,6,13.9,4.751,7,1.77
594,18,a,A,Probe,1,Pool,3/2/2023,60.0,18.292,0.305,0,0.078,11,35.1,10.495,6,10.4,3.145,2,2.8,1.065,6,11.0,3.312,2,6.07
595,19,a,A,Probe,1,Pool,3/2/2023,60.0,19.776,0.330,2,0.061,8,31.9,10.203,6,14.0,4.620,3,5.9,1.904,4,8.2,3.050,0,
596,20,a,A,Probe,1,Pool,3/2/2023,60.0,18.142,0.302,0,0.011,6,34.2,9.801,2,7.2,2.507,3,8.0,2.267,5,10.1,3.406,1,7.71
597,21,a,A,Probe,1,Pool,3/2/2023,60.0,19.172,0.320,1,0.016,13,33.8,10.968,9,19.5,6.378,2,5.1,1.255,0,0.0,0.000,5,3.19
598,22,a,A,Probe,1,Pool,3/2/2023,60.0,17.876,0.298,0,0.084,12,27.7,8.154,6,20.8,6.856,1,8.4,2.014,1,0.8,0.196,5,13.05
599,23,a,A,Probe,1,Pool,3/2/2023,60.0,20.886,0.348,3,0.050,11,26.3,8.744,6,13.2,4.537,5,8.9,3.328,6,10.3,3.850,3,4.70
600,24,a,A,Probe,1,Pool,3/2/2023,60.0,17.450,0.291,0,0.084,12,42.3,11.906,5,12.8,3.976,1,2.3,0.700,0,0.0,0.000,7,2.09
