Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Time,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
324,12,A,A,Probe,1,Pool,9/2/2023,12:21,60.0,18.260,0.304,0.043,3,5.3,1.272,9,24.8,8.022,12,26.8,8.004,1,1.2,0.351,5,27.57
325,13,A,A,Probe,1,Pool,9/2/2023,12:23,60.0,21.161,0.353,0.005,3,5.9,2.315,6,14.6,5.945,8,29.6,9.422,4,8.9,3.191,2,27.64
326,14,A,A,Probe,1,Pool,9/2/2023,12:24,60.0,15.664,0.261,0.033,2,5.8,1.709,7,10.9,2.852,9,35.9,9.109,3,6.0,1.669,2,17.88
327,15,A,A,Probe,1,Pool,9/2/2023,12:26,60.0,21.311,0.355,0.052,4,8.0,2.872,8,14.8,4.943,10,30.5,10.979,4,6.1,2.299,2,26.63
328,16,A,A,Probe,1,Pool,9/2/2023,12:27,60.0,15.719,0.262,0.102,0,0.0,0.000,3,9.7,2.841,9,42.4,10.637,3,6.1,1.595,4,16.93
329,17,A,A,Probe,1,Pool,9/2/2023,12:28,60.0,21.701,0.362,0.054,5,9.0,3.458,5,13.2,4.624,10,24.5,8.478,6,11.3,4.483,4,30.77
330,18,A,A,Probe,1,Pool,9/2/2023,12:30,60.0,18.067,0.301,0.048,3,2.8,0.753,5,8.7,2.848,9,33.3,9.763,6,14.2,4.537,1,20.82
331,19,A,A,Probe,1,Pool,9/2/2023,12:31,60.0,17.263,0.288,0.057,1,2.5,0.881,3,16.1,4.994,11,34.2,9.275,2,4.3,1.229,6,21.93
332,20,A,A,Probe,1,Pool,9/2/2023,12:33,60.0,15.746,0.262,0.098,3,6.0,1.603,6,10.3,2.604,10,37.6,9.618,3,3.8,1.232,5,17.76
333,21,A,A,Probe,1,Pool,9/2/2023,12:34,60.0,15.859,0.264,0.079,2,3.6,0.864,3,2.5,0.790,12,40.5,10.395,5,10.7,2.997,6,15.87
334,22,A,A,Probe,1,Pool,9/2/2023,12:36,60.0,19.201,0.320,0.058,3,4.0,1.388,5,6.9,2.296,10,34.9,10.639,4,12.5,4.291,4,21.46
335,23,A,A,Probe,1,Pool,9/2/2023,12:37,60.0,18.558,0.309,0.080,4,8.5,2.719,5,11.5,3.462,10,20.5,6.374,6,16.7,5.289,4,25.62
336,24,A,A,Probe,1,Pool,9/2/2023,12:38,60.0,18.678,0.311,0.069,4,16.0,4.568,8,19.5,6.446,7,18.1,5.389,3,6.0,2.094,1,35.94
337,25,A,A,Probe,1,Pool,9/2/2023,12:40,60.0,20.282,0.338,0.051,3,5.8,2.126,6,16.0,5.613,10,24.5,7.601,4,12.4,4.474,3,26.38
338,26,A,A,Probe,1,Pool,9/2/2023,12:41,60.0,19.157,0.319,0.028,2,3.4,1.405,6,9.0,3.049,14,36.5,11.464,5,9.3,2.586,5,21.89
