Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : time (s),Platform : distance (m),Platform : CIPL (m·s),Platform entry : number
1,1,A,A,Spatial,1,Pool,8/28/2023,60.0,13.942,0.232,0.108,4,24.8,5.526,1,3.7,1.212,2,4.9,1.582,5,26.6,5.622,0,0.0,0.000,37.63,0
2,1,A,A,Spatial,2,Pool,8/28/2023,55.8,13.402,0.240,0.086,4,18.4,4.280,4,13.8,3.790,3,13.8,3.178,3,9.8,2.155,1,0.0,0.000,35.78,1
3,2,A,A,Spatial,1,Pool,8/28/2023,60.0,17.971,0.300,0.034,3,15.7,4.478,3,11.9,3.748,4,11.5,4.363,5,20.9,5.382,0,0.0,0.000,44.97,0
4,2,A,A,Spatial,2,Pool,8/28/2023,30.3,8.608,0.284,0.134,2,5.5,1.572,1,2.4,0.728,2,14.4,3.706,2,8.0,2.602,1,0.0,0.000,22.59,1
5,3,A,A,Spatial,1,Pool,8/28/2023,60.0,15.412,0.257,0.100,3,10.4,2.751,5,37.7,9.086,3,10.5,3.109,1,1.3,0.466,0,0.0,0.000,43.41,0
6,3,A,A,Spatial,2,Pool,8/28/2023,11.0,3.345,0.304,0.167,2,2.1,0.480,2,8.9,2.865,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,5.23,1
7,4,A,A,Spatial,1,Pool,8/28/2023,60.0,15.753,0.263,0.014,3,11.7,3.521,2,7.0,2.226,3,15.6,4.609,5,25.6,5.397,0,0.0,0.000,45.89,0
8,4,A,A,Spatial,2,Pool,8/28/2023,60.0,15.481,0.258,0.085,5,18.9,5.228,5,19.2,4.791,3,11.5,2.769,2,10.4,2.694,0,0.0,0.000,36.06,0
9,5,A,A,Spatial,1,Pool,8/28/2023,28.7,7.730,0.269,0.109,3,6.4,2.056,3,17.0,3.542,1,2.0,0.702,2,3.3,1.430,1,0.0,0.000,14.95,1
10,5,A,A,Spatial,2,Pool,8/28/2023,60.0,18.250,0.304,0.048,4,12.2,3.738,8,26.4,7.926,6,13.4,4.134,2,8.0,2.452,0,0.0,0.000,41.00,0
11,6,A,A,Spatial,1,Pool,8/28/2023,60.0,15.317,0.255,0.048,5,29.6,6.669,3,11.6,2.942,2,9.1,2.786,3,9.7,2.921,0,0.0,0.000,34.45,0
12,6,A,A,Spatial,2,Pool,8/28/2023,5.8,1.550,0.269,0.576,1,1.1,0.287,0,0.0,0.000,0,0.0,0.000,1,4.7,1.263,1,0.0,0.000,1.77,1
13,7,A,A,Spatial,1,Pool,8/28/2023,60.0,15.072,0.251,0.048,2,5.7,2.434,3,9.8,3.064,5,34.0,5.993,4,10.5,3.581,0,0.0,0.000,54.36,0
14,7,A,A,Spatial,2,Pool,8/28/2023,34.5,9.762,0.283,0.112,2,6.4,1.376,2,6.9,2.123,3,6.1,2.408,3,15.0,3.855,1,0.0,0.000,22.37,1
15,8,A,A,Spatial,1,Pool,8/28/2023,60.0,19.627,0.327,0.043,6,19.3,6.771,4,17.9,4.493,3,10.0,3.870,5,12.8,4.493,0,0.0,0.000,40.80,0
16,8,A,A,Spatial,2,Pool,8/28/2023,29.7,9.574,0.323,0.107,3,7.1,2.424,2,7.5,2.581,2,10.3,2.858,3,4.8,1.711,1,0.0,0.000,18.81,1
17,9,A,A,Spatial,1,Pool,8/28/2023,10.4,1.826,0.176,0.290,2,8.6,1.657,0,0.0,0.000,0,0.0,0.000,1,1.7,0.169,1,0.0,0.000,3.51,1
18,9,A,A,Spatial,2,Pool,8/28/2023,60.0,21.973,0.366,0.026,3,7.9,3.328,4,11.1,4.589,6,22.2,7.806,5,18.8,6.250,0,0.0,0.000,48.17,0
19,10,A,A,Spatial,1,Pool,8/28/2023,60.0,12.359,0.206,0.058,3,14.9,3.662,4,38.0,6.828,1,7.1,1.869,0,0.0,0.000,0,0.0,0.000,37.99,0
20,10,A,A,Spatial,2,Pool,8/28/2023,60.0,13.478,0.225,0.062,8,10.4,2.870,11,36.1,8.089,3,13.6,2.519,0,0.0,0.000,0,0.0,0.000,36.14,0
21,11,A,A,Spatial,1,Pool,8/28/2023,60.0,14.366,0.239,0.015,1,3.3,1.282,4,18.1,4.081,5,36.3,8.103,1,2.3,0.900,0,0.0,0.000,55.86,0
22,11,A,A,Spatial,2,Pool,8/28/2023,60.0,18.645,0.311,0.071,3,12.8,3.936,3,8.4,2.702,3,19.3,5.421,4,19.4,6.586,0,0.0,0.000,47.48,0
23,12,A,A,Spatial,1,Pool,8/28/2023,60.0,16.176,0.270,0.009,4,16.7,5.143,5,25.1,5.168,3,11.7,3.689,3,6.5,2.176,0,0.0,0.000,40.15,0
24,12,A,A,Spatial,2,Pool,8/28/2023,60.0,15.270,0.254,0.035,4,26.9,5.908,3,10.1,3.387,3,12.4,3.061,2,10.5,2.914,0,0.0,0.000,31.95,0
25,13,A,A,Spatial,1,Pool,8/28/2023,9.2,2.450,0.265,0.204,2,7.9,1.977,0,0.0,0.000,0,0.0,0.000,1,1.3,0.473,1,0.0,0.000,2.54,1
26,13,A,A,Spatial,2,Pool,8/28/2023,20.5,7.265,0.354,0.052,4,10.0,3.738,2,6.9,2.251,0,0.0,0.000,1,3.6,1.276,1,0.0,0.000,9.79,1
27,14,A,A,Spatial,1,Pool,8/28/2023,60.0,14.389,0.240,0.039,3,4.0,1.345,1,2.8,1.056,3,18.6,3.355,5,34.6,8.633,0,0.0,0.000,50.57,0
28,14,A,A,Spatial,2,Pool,8/28/2023,26.0,8.028,0.309,0.136,2,6.7,1.949,2,5.2,1.694,2,12.4,3.678,1,1.7,0.707,1,0.0,0.000,15.62,1
29,15,A,A,Spatial,1,Pool,8/28/2023,60.0,18.071,0.301,0.062,5,20.0,5.543,4,12.4,3.925,3,11.2,3.633,4,16.4,4.970,0,0.0,0.000,40.50,0
30,15,A,A,Spatial,2,Pool,8/28/2023,45.1,9.352,0.207,0.092,3,8.1,2.258,1,4.3,1.240,1,2.7,0.959,3,30.0,4.894,1,0.0,0.000,28.33,1
31,16,A,A,Spatial,1,Pool,8/28/2023,60.0,15.437,0.257,0.052,1,4.1,1.426,4,19.0,5.562,6,29.3,6.734,3,7.6,1.715,0,0.0,0.000,52.62,0
32,16,A,A,Spatial,2,Pool,8/28/2023,60.0,13.640,0.227,0.076,3,29.9,5.629,3,13.0,2.809,2,9.7,2.643,4,7.4,2.558,0,0.0,0.000,29.17,0
33,17,A,A,Spatial,1,Pool,8/28/2023,48.5,15.058,0.310,0.061,4,14.8,5.001,2,3.7,1.643,2,2.8,1.233,4,27.2,7.182,1,0.0,0.000,29.77,1
34,17,A,A,Spatial,2,Pool,8/28/2023,30.9,8.905,0.288,0.120,3,4.5,1.074,2,1.9,0.647,4,16.3,4.492,4,8.1,2.692,1,0.0,0.000,21.34,1
35,18,A,A,Spatial,1,Pool,8/28/2023,52.8,16.332,0.310,0.058,4,12.1,4.184,4,18.7,5.276,3,13.7,4.133,3,8.1,2.740,1,0.0,0.000,37.52,1
36,18,A,A,Spatial,2,Pool,8/28/2023,7.4,2.128,0.286,0.521,1,4.1,1.107,1,3.3,1.021,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.92,1
37,19,A,A,Spatial,1,Pool,8/28/2023,60.0,14.667,0.244,0.022,8,29.3,7.752,6,23.7,4.641,1,3.3,0.922,3,3.7,1.352,0,0.0,0.000,30.50,0
38,19,A,A,Spatial,2,Pool,8/28/2023,60.0,16.783,0.280,0.092,4,14.2,4.202,5,22.8,5.482,3,9.6,2.911,3,13.4,4.189,0,0.0,0.000,42.41,0
39,20,A,A,Spatial,1,Pool,8/28/2023,17.0,3.431,0.202,0.164,3,11.4,2.167,0,0.0,0.000,0,0.0,0.000,3,5.6,1.265,1,0.0,0.000,6.17,1
40,20,A,A,Spatial,2,Pool,8/28/2023,60.0,17.564,0.293,0.055,5,20.1,4.981,4,12.8,3.690,4,11.5,4.281,5,15.6,4.611,0,0.0,0.000,41.04,0
41,21,A,A,Spatial,1,Pool,8/28/2023,47.5,15.402,0.324,0.071,4,12.3,3.849,4,14.8,4.980,4,11.7,4.568,4,8.7,2.005,1,0.0,0.000,32.64,1
42,21,A,A,Spatial,2,Pool,8/28/2023,23.9,7.492,0.314,0.168,1,2.0,0.383,2,11.9,3.481,3,6.5,2.351,1,3.5,1.278,1,0.0,0.000,16.44,1
43,22,A,A,Spatial,1,Pool,8/28/2023,60.0,18.734,0.312,0.018,4,14.9,4.713,4,12.9,4.617,5,18.9,4.685,4,13.2,4.718,0,0.0,0.000,43.74,0
44,22,A,A,Spatial,2,Pool,8/28/2023,3.1,0.855,0.276,0.839,1,2.2,0.619,0,0.0,0.000,0,0.0,0.000,1,0.8,0.236,1,0.0,0.000,0.08,1
45,23,A,A,Spatial,1,Pool,8/28/2023,60.0,16.749,0.279,0.047,2,9.5,2.745,4,17.2,4.319,5,15.9,5.075,4,17.5,4.610,0,0.0,0.000,46.18,0
46,23,A,A,Spatial,2,Pool,8/28/2023,60.0,13.290,0.222,0.002,1,4.3,1.320,1,3.5,1.256,2,12.4,2.673,3,39.9,8.041,0,0.0,0.000,52.59,0
47,24,A,A,Spatial,1,Pool,8/28/2023,60.0,12.126,0.202,0.099,4,20.1,3.297,1,4.7,1.238,3,4.3,1.535,5,30.9,6.056,0,0.0,0.000,41.88,0
48,24,A,A,Spatial,2,Pool,8/28/2023,60.0,13.123,0.219,0.087,7,25.3,5.588,6,17.9,2.649,2,9.3,2.282,3,7.5,2.604,0,0.0,0.000,34.16,0
49,25,A,A,Spatial,1,Pool,8/28/2023,10.6,1.802,0.170,0.318,5,8.0,1.262,0,0.0,0.000,0,0.0,0.000,4,2.6,0.540,1,0.0,0.000,3.93,1
50,25,A,A,Spatial,2,Pool,8/28/2023,60.0,16.727,0.279,0.028,5,34.7,8.876,5,13.2,3.720,2,1.8,0.743,3,10.4,3.389,0,0.0,0.000,27.03,0
51,26,A,A,Spatial,1,Pool,8/28/2023,60.0,16.681,0.278,0.082,3,10.8,3.002,2,8.9,2.308,5,18.9,5.845,6,21.3,5.527,0,0.0,0.000,46.73,0
52,26,A,A,Spatial,2,Pool,8/28/2023,6.6,1.749,0.265,0.236,2,4.2,1.092,1,2.4,0.658,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.61,1
53,1,A,A,Spatial,3,Pool,8/28/2023,29.7,7.370,0.248,0.090,2,13.0,2.983,2,5.4,1.345,1,4.7,1.324,1,6.7,1.717,1,0.0,0.000,19.35,1
54,1,A,A,Spatial,4,Pool,8/28/2023,21.5,7.519,0.350,0.105,3,8.4,2.861,2,4.5,1.698,1,3.6,1.332,2,4.9,1.628,1,0.0,0.000,12.44,1
55,2,A,A,Spatial,3,Pool,8/28/2023,60.0,19.234,0.321,0.060,4,15.1,4.721,5,23.6,5.827,4,11.9,4.529,3,9.4,4.157,0,0.0,0.000,46.26,0
56,2,A,A,Spatial,4,Pool,8/28/2023,60.0,15.663,0.261,0.035,4,13.7,2.752,5,28.4,7.507,4,13.9,3.890,2,4.0,1.514,0,0.0,0.000,40.72,0
57,3,A,A,Spatial,3,Pool,8/28/2023,28.7,10.567,0.368,0.115,2,5.9,2.000,2,5.6,2.083,2,6.9,2.588,3,10.3,3.896,1,0.0,0.000,20.98,1
58,3,A,A,Spatial,4,Pool,8/28/2023,60.0,20.076,0.335,0.042,4,14.2,5.142,5,13.5,4.763,5,18.2,4.873,4,14.0,5.299,0,0.0,0.000,44.59,0
59,4,A,A,Spatial,3,Pool,8/28/2023,60.0,13.427,0.224,0.088,3,17.5,3.168,3,10.6,3.255,3,11.9,2.743,3,20.0,4.261,0,0.0,0.000,42.71,0
60,4,A,A,Spatial,4,Pool,8/28/2023,15.0,4.328,0.289,0.150,2,5.2,1.510,1,6.7,1.772,0,0.0,0.000,1,3.1,1.047,1,0.0,0.000,6.22,1
61,5,A,A,Spatial,3,Pool,8/28/2023,60.0,23.880,0.398,0.069,5,14.9,5.490,4,13.5,4.867,5,16.1,6.414,5,15.6,7.109,0,0.0,0.000,48.79,0
62,5,A,A,Spatial,4,Pool,8/28/2023,60.0,17.120,0.285,0.049,5,18.5,5.117,5,20.1,5.959,3,11.9,3.672,2,9.5,2.373,0,0.0,0.000,41.81,0
63,6,A,A,Spatial,3,Pool,8/28/2023,8.0,2.392,0.298,0.391,2,4.8,1.526,1,2.3,0.634,0,0.0,0.000,1,0.9,0.232,1,0.0,0.000,1.95,1
64,6,A,A,Spatial,4,Pool,8/28/2023,33.0,9.966,0.302,0.122,3,14.8,4.124,2,6.1,2.433,2,6.5,1.755,2,5.6,1.653,1,0.0,0.000,19.20,1
65,7,A,A,Spatial,3,Pool,8/28/2023,60.0,22.966,0.383,0.068,5,13.2,5.441,5,17.4,5.863,5,13.9,5.320,5,15.5,6.342,0,0.0,0.000,45.78,0
66,7,A,A,Spatial,4,Pool,8/28/2023,7.5,2.598,0.347,0.324,1,1.6,0.424,1,1.1,0.345,1,4.4,1.652,1,0.4,0.177,1,0.0,0.000,4.26,1
67,8,A,A,Spatial,3,Pool,8/28/2023,60.0,15.452,0.258,0.034,5,28.9,7.016,1,7.2,1.811,0,0.0,0.000,4,23.9,6.624,0,0.0,0.000,34.15,0
68,8,A,A,Spatial,4,Pool,8/28/2023,58.0,15.104,0.260,0.061,3,29.4,7.035,3,9.9,2.808,3,7.9,2.177,2,10.8,3.085,1,0.0,0.000,29.92,1
69,9,A,A,Spatial,3,Pool,8/28/2023,28.3,11.000,0.388,0.079,4,4.0,1.582,5,14.3,5.287,2,5.5,2.287,1,4.5,1.844,1,0.0,0.000,18.64,1
70,9,A,A,Spatial,4,Pool,8/28/2023,33.8,11.301,0.334,0.079,3,2.3,0.819,2,4.5,1.576,3,13.5,4.331,4,13.5,4.575,1,0.0,0.000,24.43,1
71,10,A,A,Spatial,3,Pool,8/28/2023,5.2,1.436,0.278,0.578,1,0.9,0.241,2,3.9,1.118,1,0.3,0.077,0,0.0,0.000,1,0.0,0.000,2.14,1
72,10,A,A,Spatial,4,Pool,8/28/2023,2.5,0.934,0.367,0.976,1,0.8,0.276,0,0.0,0.000,0,0.0,0.000,1,1.7,0.658,1,0.0,0.000,0.08,1
73,11,A,A,Spatial,3,Pool,8/28/2023,60.0,23.366,0.389,0.013,5,12.4,5.170,4,11.2,5.048,4,14.0,5.089,5,22.4,8.060,0,0.0,0.000,49.03,0
74,11,A,A,Spatial,4,Pool,8/28/2023,37.4,11.298,0.302,0.091,2,5.6,1.469,2,4.0,1.515,4,16.5,5.116,4,11.3,3.197,1,0.0,0.000,27.94,1
75,12,A,A,Spatial,3,Pool,8/28/2023,11.5,2.714,0.235,0.320,2,6.5,1.488,0,0.0,0.000,0,0.0,0.000,2,5.0,1.226,1,0.0,0.000,3.27,1
76,12,A,A,Spatial,4,Pool,8/28/2023,26.5,8.503,0.320,0.141,3,12.0,3.190,3,6.1,1.978,2,5.5,2.018,1,2.9,1.318,1,0.0,0.000,14.04,1
77,13,A,A,Spatial,3,Pool,8/28/2023,60.0,17.986,0.300,0.060,3,5.9,2.231,6,38.3,10.791,4,12.6,3.629,1,3.2,1.335,0,0.0,0.000,44.90,0
78,13,A,A,Spatial,4,Pool,8/28/2023,60.0,17.805,0.297,0.053,1,4.0,1.355,5,15.0,4.956,6,35.1,9.793,2,5.9,1.701,0,0.0,0.000,53.49,0
79,14,A,A,Spatial,3,Pool,8/28/2023,60.0,18.791,0.313,0.013,5,22.0,5.131,3,8.7,3.447,4,7.7,3.105,5,21.6,7.109,0,0.0,0.000,38.93,0
80,14,A,A,Spatial,4,Pool,8/28/2023,19.6,6.124,0.312,0.140,2,6.5,1.969,2,4.3,1.124,3,6.9,2.425,2,1.9,0.605,1,0.0,0.000,10.34,1
81,15,A,A,Spatial,3,Pool,8/28/2023,60.0,18.415,0.307,0.075,4,15.5,5.101,5,15.7,5.129,4,16.5,4.407,4,12.3,3.778,0,0.0,0.000,44.07,0
82,15,A,A,Spatial,4,Pool,8/28/2023,55.5,16.631,0.300,0.070,5,16.8,4.817,5,17.4,5.194,4,15.5,4.677,3,5.8,1.943,1,0.0,0.000,32.58,1
83,16,A,A,Spatial,3,Pool,8/28/2023,60.0,15.770,0.263,0.021,5,18.7,6.040,3,5.3,1.374,2,16.1,3.467,3,19.8,4.890,0,0.0,0.000,44.31,0
84,16,A,A,Spatial,4,Pool,8/28/2023,60.0,16.611,0.277,0.011,2,4.9,1.881,5,23.3,5.932,5,20.3,5.441,3,11.5,3.358,0,0.0,0.000,48.47,0
85,17,A,A,Spatial,3,Pool,8/28/2023,3.5,0.733,0.208,0.681,1,3.5,0.733,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.55,1
86,17,A,A,Spatial,4,Pool,8/28/2023,10.8,3.956,0.367,0.335,1,1.1,0.353,1,1.6,0.622,2,4.1,1.327,1,4.0,1.654,1,0.0,0.000,6.10,1
87,18,A,A,Spatial,3,Pool,8/28/2023,18.9,5.170,0.274,0.208,1,1.1,0.279,1,3.3,1.168,2,9.9,2.582,2,4.6,1.140,1,0.0,0.000,16.49,1
88,18,A,A,Spatial,4,Pool,8/28/2023,60.0,19.466,0.324,0.072,5,19.7,6.571,7,13.4,4.938,5,21.0,5.874,2,5.9,2.084,0,0.0,0.000,38.24,0
89,19,A,A,Spatial,3,Pool,8/28/2023,60.0,14.316,0.239,0.089,4,18.9,4.452,5,30.3,6.651,2,7.8,1.970,1,2.9,1.244,0,0.0,0.000,37.95,0
90,19,A,A,Spatial,4,Pool,8/28/2023,60.0,10.807,0.180,0.016,2,9.7,2.709,2,44.4,6.935,0,0.0,0.000,1,5.9,1.163,0,0.0,0.000,38.20,0
91,20,A,A,Spatial,3,Pool,8/28/2023,60.0,13.849,0.231,0.026,2,6.5,2.586,2,12.1,2.902,3,34.3,5.604,2,7.1,2.756,0,0.0,0.000,53.75,0
92,20,A,A,Spatial,4,Pool,8/28/2023,60.0,10.794,0.180,0.111,1,4.7,1.424,2,30.3,3.960,2,21.0,4.080,1,4.0,1.330,0,0.0,0.000,50.42,0
93,21,A,A,Spatial,3,Pool,8/28/2023,7.5,2.043,0.272,0.282,2,5.6,1.358,0,0.0,0.000,0,0.0,0.000,1,1.9,0.685,1,0.0,0.000,2.41,1
94,21,A,A,Spatial,4,Pool,8/28/2023,60.0,19.891,0.332,0.017,6,20.6,6.262,3,7.6,3.193,4,8.2,3.116,6,23.6,7.320,0,0.0,0.000,39.22,0
95,22,A,A,Spatial,3,Pool,8/28/2023,60.0,11.315,0.189,0.078,1,4.5,1.130,2,7.0,2.121,3,38.8,6.561,2,9.7,1.503,0,0.0,0.000,58.26,0
96,22,A,A,Spatial,4,Pool,8/28/2023,60.0,13.972,0.233,0.044,4,15.2,4.341,4,9.9,2.965,2,28.9,4.196,2,6.0,2.470,0,0.0,0.000,48.62,0
97,23,A,A,Spatial,3,Pool,8/28/2023,60.0,19.322,0.322,0.054,5,18.2,5.606,3,10.3,3.589,4,10.5,4.212,6,21.0,5.915,0,0.0,0.000,41.13,0
98,23,A,A,Spatial,4,Pool,8/28/2023,20.6,5.401,0.262,0.060,3,10.5,1.888,1,2.1,0.716,1,2.1,0.824,2,5.9,1.973,1,0.0,0.000,9.29,1
99,24,A,A,Spatial,3,Pool,8/28/2023,60.0,13.409,0.223,0.059,3,8.4,2.056,6,21.4,4.626,4,26.3,5.289,1,3.9,1.437,0,0.0,0.000,47.81,0
100,24,A,A,Spatial,4,Pool,8/28/2023,60.0,15.200,0.253,0.040,5,27.5,5.666,3,9.7,3.027,3,8.9,2.755,5,14.0,3.752,0,0.0,0.000,32.07,0
101,25,A,A,Spatial,3,Pool,8/28/2023,32.1,6.741,0.210,0.091,2,2.8,0.505,2,23.4,4.070,1,4.0,1.311,1,1.9,0.855,1,0.0,0.000,21.53,1
102,25,A,A,Spatial,4,Pool,8/28/2023,60.0,15.715,0.262,0.075,7,45.3,11.354,5,8.1,2.205,1,1.6,0.558,3,5.1,1.598,0,0.0,0.000,23.57,0
103,26,A,A,Spatial,3,Pool,8/28/2023,60.0,20.825,0.347,0.031,4,11.5,3.739,5,15.9,5.684,5,16.7,6.443,5,15.9,4.959,0,0.0,0.000,48.43,0
104,26,A,A,Spatial,4,Pool,8/28/2023,60.0,17.179,0.286,0.046,2,7.3,2.446,4,18.0,4.497,6,25.9,7.199,4,8.8,3.036,0,0.0,0.000,50.05,0
105,1,A,A,Spatial,5,Pool,8/28/2023,7.7,1.918,0.249,0.661,1,1.5,0.404,0,0.0,0.000,1,5.0,1.050,1,1.2,0.464,1,0.0,0.000,3.46,1
106,1,A,A,Spatial,6,Pool,8/28/2023,3.6,1.096,0.306,0.838,1,1.1,0.315,1,2.5,0.781,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,0.56,1
107,2,A,A,Spatial,5,Pool,8/28/2023,60.0,17.067,0.284,0.047,5,21.2,5.797,5,23.6,5.748,3,7.7,2.707,3,7.5,2.815,0,0.0,0.000,38.32,0
108,2,A,A,Spatial,6,Pool,8/28/2023,31.1,10.578,0.340,0.071,3,7.9,2.865,2,6.4,2.368,2,8.4,2.457,3,8.5,2.887,1,0.0,0.000,20.86,1
109,3,A,A,Spatial,5,Pool,8/28/2023,37.0,13.498,0.365,0.078,3,5.7,2.121,4,10.8,3.794,4,8.8,3.480,3,11.6,4.103,1,0.0,0.000,24.98,1
110,3,A,A,Spatial,6,Pool,8/28/2023,25.4,8.653,0.341,0.065,3,8.5,2.656,2,9.2,3.170,1,2.8,1.194,2,4.8,1.632,1,0.0,0.000,13.86,1
111,4,A,A,Spatial,5,Pool,8/28/2023,60.0,13.129,0.219,0.120,3,33.9,5.366,1,4.5,1.145,2,5.3,1.812,5,16.3,4.805,0,0.0,0.000,32.36,0
112,4,A,A,Spatial,6,Pool,8/28/2023,60.0,13.546,0.226,0.030,6,37.3,7.461,3,9.8,2.434,0,0.0,0.000,3,12.9,3.651,0,0.0,0.000,24.63,0
113,5,A,A,Spatial,5,Pool,8/28/2023,51.3,16.529,0.322,0.080,3,6.3,2.199,4,17.5,5.031,5,18.8,5.705,3,8.7,3.595,1,0.0,0.000,41.08,1
114,5,A,A,Spatial,6,Pool,8/28/2023,34.0,11.397,0.336,0.072,4,9.4,2.992,3,13.1,3.985,2,7.4,2.909,3,4.1,1.511,1,0.0,0.000,19.07,1
115,6,A,A,Spatial,5,Pool,8/28/2023,25.5,7.348,0.288,0.055,4,13.4,4.054,1,0.0,0.000,2,0.9,0.306,4,11.2,2.988,1,0.0,0.000,10.04,1
116,6,A,A,Spatial,6,Pool,8/28/2023,60.0,16.114,0.269,0.088,5,25.4,5.362,4,15.9,4.497,3,8.7,2.746,4,10.0,3.508,0,0.0,0.000,29.82,0
117,7,A,A,Spatial,5,Pool,8/28/2023,40.7,16.284,0.400,0.068,4,13.1,4.952,4,9.0,3.645,3,8.5,3.684,3,10.1,4.004,1,0.0,0.000,25.70,1
118,7,A,A,Spatial,6,Pool,8/28/2023,7.0,1.984,0.284,0.550,1,2.8,0.739,0,0.0,0.000,0,0.0,0.000,1,4.2,1.245,1,0.0,0.000,2.43,1
119,8,A,A,Spatial,5,Pool,8/28/2023,60.0,18.425,0.307,0.062,5,33.7,9.122,4,11.6,3.916,2,6.4,2.573,3,8.3,2.815,0,0.0,0.000,33.55,0
120,8,A,A,Spatial,6,Pool,8/28/2023,60.0,13.955,0.233,0.007,4,11.3,2.878,2,10.0,2.517,2,7.2,2.432,4,31.5,6.128,0,0.0,0.000,43.27,0
121,9,A,A,Spatial,5,Pool,8/28/2023,60.0,24.185,0.403,0.053,6,12.1,5.099,6,11.0,4.723,6,19.3,7.975,6,17.6,6.388,0,0.0,0.000,45.87,0
122,9,A,A,Spatial,6,Pool,8/28/2023,60.0,19.201,0.320,0.014,3,8.1,3.060,4,13.7,4.799,6,22.8,6.681,4,15.3,4.663,0,0.0,0.000,48.38,0
123,10,A,A,Spatial,5,Pool,8/28/2023,60.0,19.580,0.326,0.016,3,9.6,3.986,4,18.7,5.988,6,15.6,5.099,4,16.1,4.507,0,0.0,0.000,46.84,0
124,10,A,A,Spatial,6,Pool,8/28/2023,60.0,14.971,0.250,0.083,6,22.9,5.980,5,20.9,5.122,2,6.1,1.495,3,10.0,2.373,0,0.0,0.000,33.92,0
125,11,A,A,Spatial,5,Pool,8/28/2023,13.1,3.061,0.234,0.171,4,10.2,2.295,3,2.8,0.765,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,3.85,1
126,11,A,A,Spatial,6,Pool,8/28/2023,5.2,1.388,0.269,0.587,1,2.0,0.464,1,3.2,0.924,0,0.0,0.000,0,0.0,0.000,1,0.0,0.000,1.24,1
127,12,A,A,Spatial,5,Pool,8/28/2023,42.3,11.702,0.277,0.034,4,15.4,3.756,6,11.0,3.238,5,10.9,3.234,3,4.9,1.473,1,0.0,0.000,23.01,1
128,12,A,A,Spatial,6,Pool,8/28/2023,25.8,8.067,0.313,0.149,3,6.9,2.093,3,6.9,2.426,2,8.0,2.167,1,3.9,1.381,1,0.0,0.000,14.74,1
129,13,A,A,Spatial,5,Pool,8/28/2023,2.0,0.610,0.305,0.914,1,1.1,0.332,0,0.0,0.000,0,0.0,0.000,1,0.8,0.279,1,0.0,0.000,0.02,1
130,13,A,A,Spatial,6,Pool,8/28/2023,12.6,4.752,0.376,0.247,1,1.6,0.381,2,5.9,2.621,2,5.1,1.750,0,0.0,0.000,1,0.0,0.000,8.06,1
131,14,A,A,Spatial,5,Pool,8/28/2023,18.2,4.511,0.248,0.177,2,8.7,2.315,0,0.0,0.000,0,0.0,0.000,2,9.5,2.195,1,0.0,0.000,7.05,1
132,14,A,A,Spatial,6,Pool,8/28/2023,9.3,3.294,0.355,0.177,1,2.8,0.917,1,1.4,0.458,1,0.9,0.426,1,4.1,1.493,1,0.0,0.000,4.94,1
133,15,A,A,Spatial,5,Pool,8/28/2023,35.7,11.658,0.327,0.060,4,14.6,4.215,3,9.3,2.690,2,6.0,2.369,2,5.7,2.384,1,0.0,0.000,22.00,1
134,15,A,A,Spatial,6,Pool,8/28/2023,60.0,16.782,0.280,0.027,3,7.1,2.500,6,23.6,6.000,5,24.8,6.799,2,4.5,1.484,0,0.0,0.000,48.92,0
135,16,A,A,Spatial,5,Pool,8/28/2023,60.0,18.536,0.309,0.018,4,12.0,4.036,6,14.6,4.515,6,18.5,4.898,4,14.9,5.087,0,0.0,0.000,43.30,0
136,16,A,A,Spatial,6,Pool,8/28/2023,60.0,13.202,0.220,0.087,2,6.1,1.755,2,10.9,2.101,4,24.1,4.715,4,18.9,4.632,0,0.0,0.000,50.07,0
137,17,A,A,Spatial,5,Pool,8/28/2023,49.3,12.710,0.258,0.057,5,14.4,2.969,1,4.0,1.262,1,5.7,1.374,5,25.2,7.105,1,0.0,0.000,31.34,1
138,17,A,A,Spatial,6,Pool,8/28/2023,14.5,3.957,0.273,0.303,2,4.4,0.827,0,0.0,0.000,1,1.7,0.651,3,8.4,2.479,1,0.0,0.000,6.45,1
139,18,A,A,Spatial,5,Pool,8/28/2023,60.0,17.433,0.291,0.064,3,6.8,2.264,3,6.3,2.167,5,21.9,5.956,5,25.1,7.047,0,0.0,0.000,48.82,0
140,18,A,A,Spatial,6,Pool,8/28/2023,60.0,15.316,0.255,0.087,5,20.7,6.120,2,5.2,1.536,3,8.8,2.067,6,25.3,5.594,0,0.0,0.000,32.33,0
