Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : CIPL (m·s)
55,28,NSF,A,Spatial,1,Pool,5/22/2023,60.0,15.308,0.255,0.057,3,10.7,3.229,3,8.1,2.710,4,18.2,4.426,4,23.0,4.942,0,
56,28,NSF,A,Spatial,2,Pool,5/22/2023,60.0,14.281,0.238,0.022,1,3.5,1.353,3,10.3,2.490,6,35.3,7.684,3,11.0,2.754,0,
57,29,NSF,A,Spatial,1,Pool,5/22/2023,60.0,17.759,0.296,0.027,3,19.7,5.678,5,21.9,5.321,3,13.2,4.555,2,5.2,2.204,0,
58,29,NSF,A,Spatial,2,Pool,5/22/2023,16.1,5.434,0.337,0.233,2,5.2,1.793,1,1.2,0.196,2,8.0,2.868,2,1.7,0.577,1,9.47
59,30,NSF,A,Spatial,1,Pool,5/22/2023,32.9,9.530,0.289,0.138,3,8.1,2.895,2,5.6,1.846,2,12.0,2.202,2,7.2,2.585,1,22.85
60,30,NSF,A,Spatial,2,Pool,5/22/2023,7.9,3.361,0.428,0.293,1,0.9,0.310,1,2.9,1.268,1,2.0,1.002,1,2.0,0.781,1,5.53
61,1,NSF,A,Spatial,3,Pool,5/22/2023,37.2,9.130,0.246,0.060,4,10.1,2.134,2,23.8,5.898,0,0.0,0.000,1,3.2,1.098,1,23.86
62,1,NSF,A,Spatial,4,Pool,5/22/2023,60.0,15.908,0.265,0.041,6,38.5,10.233,2,1.1,0.359,1,8.0,1.732,6,12.4,3.584,0,
63,2,NSF,A,Spatial,3,Pool,5/22/2023,22.3,5.721,0.257,0.115,4,9.1,1.569,3,9.9,2.950,1,2.9,1.044,1,0.4,0.157,1,12.35
64,2,NSF,A,Spatial,4,Pool,5/22/2023,13.5,4.787,0.354,0.228,2,6.0,1.953,1,0.2,0.075,1,2.2,0.688,1,5.2,2.070,1,5.78
65,3,NSF,A,Spatial,3,Pool,5/22/2023,60.0,20.126,0.335,0.054,4,7.6,2.612,5,17.7,5.857,6,18.3,6.504,6,16.4,5.153,0,
66,3,NSF,A,Spatial,4,Pool,5/22/2023,60.0,14.227,0.237,0.038,2,7.5,2.327,6,12.4,3.928,5,36.0,6.713,1,4.1,1.259,0,
