Test,Animal,Treatment,Code,Stage,Trial,Apparatus,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Q1 : entries,Q1 : time (s),Q1 : distance (m),Q2 : entries,Q2 : time (s),Q2 : distance (m),Q3 : entries,Q3 : time (s),Q3 : distance (m),Q4 : entries,Q4 : time (s),Q4 : distance (m),Platform : entries,Platform : latency to first entry (s),Platform : time getting closer to zone (s),Platform : path efficiency to entry,Platform : CIPL (m·s)
42,5,A,A,Spatial,6,Pool,8.3,1.991,0.240,0.482,1,4.9,0.999,0,0.0,0.000,0,0.0,0.000,1,3.4,0.993,1,8.3,6.1,0.461,2.08
43,6,A,A,Spatial,5,Pool,4.0,0.989,0.248,0.594,1,4.0,0.989,0,0.0,0.000,0,0.0,0.000,0,0.0,0.000,1,4.0,3.3,0.479,0.68
44,6,A,A,Spatial,6,Pool,60.0,19.412,0.324,0.065,4,15.9,5.232,4,14.1,4.809,4,17.8,5.373,4,12.2,3.998,0,,29.3,,
45,7,A,A,Spatial,5,Pool,46.4,9.449,0.204,0.124,2,15.9,2.980,3,13.3,2.645,3,12.0,2.455,1,5.2,1.369,1,46.4,27.5,0.122,29.16
46,7,A,A,Spatial,6,Pool,33.1,8.805,0.266,0.108,2,5.2,1.358,2,11.2,2.781,3,10.9,3.150,3,5.7,1.517,1,33.0,19.0,0.106,20.01
47,8,A,A,Spatial,5,Pool,42.3,10.931,0.259,0.049,5,20.9,4.807,4,13.6,3.461,1,4.2,1.352,1,3.6,1.311,1,42.3,23.2,0.037,23.44
48,8,A,A,Spatial,6,Pool,60.0,14.420,0.240,0.029,3,10.3,2.403,3,19.3,4.652,3,16.2,3.663,3,14.1,3.701,0,,30.3,,
49,1,A,A,Spatial,7,Pool,25.5,5.717,0.224,0.161,1,0.9,0.257,0,0.0,0.000,2,15.2,3.341,3,9.4,2.119,1,25.5,12.8,0.148,23.56
50,1,A,A,Spatial,8,Pool,60.0,14.098,0.235,0.091,4,19.1,4.328,5,23.1,5.953,3,9.6,2.073,2,8.3,1.744,0,,33.2,,
51,2,A,A,Spatial,7,Pool,60.0,12.674,0.211,0.126,3,12.8,2.928,1,4.1,1.239,3,15.9,2.993,4,27.1,5.514,0,,34.3,,
52,2,A,A,Spatial,8,Pool,60.0,9.232,0.154,0.062,0,0.0,0.000,3,13.9,1.907,4,38.5,5.820,1,7.6,1.505,0,,26.1,,
53,3,A,A,Spatial,7,Pool,60.0,12.831,0.214,0.108,1,5.1,1.350,2,8.5,2.114,3,34.9,6.595,2,11.6,2.772,0,,33.5,,
54,3,A,A,Spatial,8,Pool,60.0,12.237,0.204,0.128,2,20.5,3.683,4,15.2,3.613,3,16.8,2.909,2,7.5,2.033,0,,29.2,,
55,4,A,A,Spatial,7,Pool,11.0,2.877,0.263,0.431,1,1.1,0.293,1,1.6,0.593,1,4.5,1.308,1,3.7,0.682,1,10.9,7.0,0.379,7.43
56,4,A,A,Spatial,8,Pool,43.8,11.734,0.268,0.106,3,10.8,2.949,4,12.0,3.850,3,15.8,3.536,1,5.2,1.399,1,43.8,26.4,0.093,31.53
57,5,A,A,Spatial,7,Pool,54.9,14.565,0.265,0.050,4,14.6,3.555,2,7.5,1.831,3,11.7,3.101,5,21.1,6.078,1,54.9,27.0,0.047,37.29
58,5,A,A,Spatial,8,Pool,7.1,1.902,0.266,0.458,1,2.9,0.738,1,4.2,1.164,0,0.0,0.000,0,0.0,0.000,1,7.1,4.6,0.391,2.16
59,6,A,A,Spatial,7,Pool,60.0,19.862,0.331,0.082,4,14.6,4.858,4,12.3,3.940,4,16.7,5.402,5,16.4,5.661,0,,30.3,,
60,6,A,A,Spatial,8,Pool,42.6,13.372,0.314,0.079,4,11.4,3.429,4,10.0,3.357,3,10.4,3.250,3,10.7,3.336,1,42.5,24.4,0.079,28.26
61,7,A,A,Spatial,7,Pool,60.0,14.921,0.249,0.043,2,9.0,2.219,3,18.0,3.917,4,14.1,3.975,4,18.8,4.810,0,,28.3,,
62,7,A,A,Spatial,8,Pool,49.2,10.142,0.206,0.085,2,10.1,2.163,4,27.8,5.459,3,9.3,2.430,1,1.9,0.089,1,49.2,28.2,0.075,33.30
63,8,A,A,Spatial,7,Pool,27.8,7.100,0.256,0.149,2,5.3,1.303,1,4.1,1.241,2,8.9,2.264,3,9.4,2.292,1,27.8,17.9,0.138,19.82
64,8,A,A,Spatial,8,Pool,60.0,14.730,0.245,0.041,3,7.0,1.904,6,28.5,5.529,5,16.8,4.595,2,7.7,2.702,0,,29.8,,
65,1,A,A,Spatial,9,Pool,60.0,13.509,0.225,0.105,3,26.5,5.287,3,8.5,2.250,3,17.6,3.523,2,7.3,2.448,0,,31.6,,
66,1,A,A,Spatial,10,Pool,12.2,3.298,0.271,0.151,2,9.0,2.216,0,0.0,0.000,0,0.0,0.000,1,3.2,1.082,1,12.2,6.9,0.117,3.87
67,2,A,A,Spatial,9,Pool,60.0,11.955,0.199,0.095,5,27.1,4.559,3,19.1,3.502,1,3.9,1.337,3,10.0,2.557,0,,28.8,,
68,2,A,A,Spatial,10,Pool,60.0,11.086,0.185,0.002,1,4.1,0.465,4,29.5,4.008,4,13.8,3.883,2,12.5,2.730,0,,28.8,,
69,3,A,A,Spatial,9,Pool,60.0,13.662,0.228,0.036,5,24.3,4.553,4,8.7,2.622,3,10.6,1.955,3,16.4,4.532,0,,29.3,,
70,3,A,A,Spatial,10,Pool,26.5,5.947,0.224,0.175,2,2.4,0.281,2,8.8,2.491,2,14.5,2.906,1,0.8,0.269,1,26.5,14.8,0.173,20.13
71,4,A,A,Spatial,9,Pool,60.0,15.689,0.261,0.106,3,9.8,2.874,3,10.7,3.179,4,17.2,4.351,5,22.2,5.285,0,,32.1,,
72,4,A,A,Spatial,10,Pool,60.0,13.741,0.229,0.025,3,15.3,3.568,5,20.3,4.318,3,15.7,3.959,2,8.7,1.896,0,,32.9,,
73,5,A,A,Spatial,9,Pool,24.2,6.773,0.280,0.064,3,15.1,3.987,1,3.1,0.969,0,0.0,0.000,1,6.0,1.817,1,24.2,14.5,0.062,9.43
74,5,A,A,Spatial,10,Pool,15.9,3.805,0.239,0.179,3,9.2,2.369,3,6.8,1.437,0,0.0,0.000,0,0.0,0.000,1,15.9,9.6,0.146,4.79
75,6,A,A,Spatial,9,Pool,50.4,14.675,0.291,0.041,3,11.2,3.567,2,4.4,1.681,3,11.6,3.334,4,23.2,6.093,1,50.4,26.7,0.037,39.29
76,6,A,A,Spatial,10,Pool,42.4,11.928,0.281,0.101,4,11.6,2.787,5,16.0,4.902,3,10.8,2.998,1,4.0,1.241,1,42.4,23.2,0.092,25.67
77,7,A,A,Spatial,9,Pool,45.5,11.036,0.243,0.082,3,12.0,2.499,3,13.5,3.512,2,11.2,2.699,2,8.8,2.326,1,45.5,25.3,0.077,32.19
78,7,A,A,Spatial,10,Pool,41.9,10.492,0.250,0.099,4,19.3,4.773,1,3.5,1.125,1,3.7,1.071,4,15.4,3.523,1,41.9,23.4,0.092,18.94
79,8,A,A,Spatial,9,Pool,60.0,14.997,0.250,0.099,3,14.4,3.364,3,13.5,3.414,5,15.3,3.975,4,16.9,4.243,0,,35.5,,
80,8,A,A,Spatial,10,Pool,60.0,15.520,0.259,0.078,3,11.3,2.925,5,25.2,6.493,3,17.0,4.095,2,6.5,2.007,0,,29.4,,
81,1,A,A,Spatial,11,Pool,19.5,6.071,0.311,0.116,2,5.0,1.570,2,6.2,2.014,2,3.7,1.074,1,4.5,1.412,1,19.5,9.6,0.099,12.68
82,1,A,A,Spatial,12,Pool,57.0,9.704,0.170,0.087,5,48.3,7.193,4,4.5,1.339,1,1.9,0.552,2,2.4,0.620,1,57.0,28.8,0.081,18.67
83,2,A,A,Spatial,11,Pool,60.0,13.259,0.221,0.055,6,27.9,5.598,5,15.5,3.242,2,9.8,2.753,2,6.8,1.666,0,,30.9,,
